"Author"	"Year"	"n111"	"n101"	"n1s1"	"n011"	"n001"	"n0s1"	"Author_Year"	"study"	"n110"	"n100"	"n010"	"n000"	"n1s0"	"n0s0"	"miss_r0"	"miss_r1"	"miss"
"1"	"Bofill"	1997	5	0	0	1	2	0	"Bofill_1997"	1	42	2	11	37	0	0	0	0	0
"2"	"Clark"	1998	13	2	0	16	6	0	"Clark_1998"	2	134	7	68	72	0	0	0	0	0
"3"	"Dickinson"	2002	0	0	85	0	0	71	"Dickinson_2002"	3	0	0	0	0	408	428	1	1	1
"4"	"Evron"	2008	0	0	19	0	4	0	"Evron_2008"	4	0	0	0	40	129	0	0	1	1
"5"	"El_Kerdawy"	2010	0	0	4	0	0	3	"El_Kerdawy_2010"	5	0	0	0	0	11	12	1	1	1
"6"	"Gambling"	1998	29	10	0	0	0	34	"Gambling_1998"	6	371	206	0	0	0	573	1	0	1
"7"	"Grandjean"	1979	0	0	0	0	0	1	"Grandjean_1979"	7	0	0	0	0	30	59	1	1	1
"8"	"Halpern"	2004	12	0	0	7	5	0	"Halpern_2004"	8	112	0	44	62	0	0	0	0	0
"9"	"Head"	2002	10	0	0	0	7	0	"Head_2002"	9	43	3	2	51	0	0	0	0	0
"10"	"Hogg"	2000	0	0	7	0	0	6	"Hogg_2000"	10	0	0	0	0	46	46	1	1	1
"11"	"Howell"	2001	0	0	13	0	0	16	"Howell_2001"	11	0	0	0	0	171	169	1	1	1
"12"	"Jain"	2003	7	2	0	0	11	0	"Jain_2003"	12	36	0	0	72	0	0	0	0	0
"13"	"Long"	2003	0	0	1	0	0	6	"Long_2003"	13	0	0	0	0	29	44	1	1	1
"14"	"Loughnan"	2000	0	0	36	0	0	40	"Loughnan_2000"	14	0	0	0	0	268	270	1	1	1
"15"	"Lucas"	2001	0	0	63	0	0	62	"Lucas_2001"	15	0	0	0	0	309	304	1	1	1
"16"	"Muir"	1996	0	0	3	0	0	2	"Muir_1996"	16	0	0	0	0	25	20	1	1	1
"17"	"Muir"	2000	0	0	11	0	0	9	"Muir_2000"	17	0	0	0	0	86	79	1	1	1
"18"	"Nafisi"	2006	24	0	0	0	19	0	"Nafisi_2006"	18	173	0	0	179	0	0	0	0	0
"19"	"Nikkola"	1997	0	0	0	0	0	0	"Nikkola_1997"	19	10	0	4	6	0	0	0	0	0
"20"	"Philipsen"	1989	0	0	10	0	0	6	"Philipsen_1989"	20	0	0	0	0	47	48	1	1	1
"21"	"Ramin"	1995	39	2	0	8	17	0	"Ramin_1995"	21	393	230	95	546	0	0	0	0	0
"22"	"Sharma"	1997	12	1	0	0	16	0	"Sharma_1997"	22	231	114	5	336	0	0	0	0	0
"23"	"Sharma"	2002	15	1	0	0	0	20	"Sharma_2002"	23	199	11	0	0	0	213	1	0	1
"24"	"Shifman"	2007	0	0	15	0	0	18	"Shifman_2007"	24	0	0	0	0	45	32	1	1	1
"25"	"Thalme"	1974	0	0	6	0	0	4	"Thalme_1974"	25	0	0	0	0	8	10	1	1	1
"26"	"Thorp"	1993	0	0	12	0	0	1	"Thorp_1993"	26	0	0	0	0	36	44	1	1	1
"27"	"Volmanen"	2008	1	0	0	0	1	0	"Volmanen_2008"	27	23	1	3	23	0	0	0	0	0
