"study.id"	"study.name"	"n000"	"n001"	"n010"	"n011"	"n0s0"	"n0s1"	"n100"	"n101"	"n110"	"n111"	"n1s0"	"n1s1"	"miss_r0"	"miss_r1"	"miss"
1	"Bofill, 1997"	37	2	11	1	0	0	2	0	42	5	0	0	0	0	0
2	"Clark, 1998"	72	6	68	16	0	0	7	2	134	13	0	0	0	0	0
3	"Dickinson, 2002"	0	0	0	0	428	71	0	0	0	0	408	85	1	1	1
4	"Evron, 2008"	40	4	0	0	0	0	0	0	0	0	129	19	0	1	1
5	"El Kerdawy, 2010"	0	0	0	0	12	3	0	0	0	0	11	4	1	1	1
6	"Gambling, 1998"	0	0	0	0	573	34	206	10	371	29	0	0	1	0	1
7	"Grandjean, 1979"	0	0	0	0	59	1	0	0	0	0	30	0	1	1	1
8	"Halpern, 2004"	62	5	44	7	0	0	0	0	112	12	0	0	0	0	0
9	"Head, 2002"	51	7	2	0	0	0	3	0	43	10	0	0	0	0	0
10	"Hogg, 2000"	0	0	0	0	46	6	0	0	0	0	46	7	1	1	1
11	"Howell, 2001"	0	0	0	0	169	16	0	0	0	0	171	13	1	1	1
12	"Jain, 2003"	72	11	0	0	0	0	0	2	36	7	0	0	0	0	0
13	"Long, 2003"	0	0	0	0	44	6	0	0	0	0	29	1	1	1	1
14	"Loughnan, 2000"	0	0	0	0	270	40	0	0	0	0	268	36	1	1	1
15	"Lucas, 2001"	0	0	0	0	304	62	0	0	0	0	309	63	1	1	1
16	"Muir, 1996"	0	0	0	0	20	2	0	0	0	0	25	3	1	1	1
17	"Muir, 2000"	0	0	0	0	79	9	0	0	0	0	86	11	1	1	1
18	"Nafisi, 2006"	179	19	0	0	0	0	0	0	173	24	0	0	0	0	0
19	"Nikkola, 1997"	6	0	4	0	0	0	0	0	10	0	0	0	0	0	0
20	"Philipsen, 1989"	0	0	0	0	48	6	0	0	0	0	47	10	1	1	1
21	"Ramin, 1995"	546	17	95	8	0	0	230	2	393	39	0	0	0	0	0
22	"Sharma, 1997"	336	16	5	0	0	0	114	1	231	12	0	0	0	0	0
23	"Sharma, 2002"	0	0	0	0	213	20	11	1	199	15	0	0	1	0	1
24	"Shifman, 2007"	0	0	0	0	32	18	0	0	0	0	45	15	1	1	1
25	"Thalme, 1974"	0	0	0	0	10	4	0	0	0	0	8	6	1	1	1
26	"Thorp, 1993"	0	0	0	0	44	1	0	0	0	0	36	12	1	1	1
27	"Volmanen, 2008"	23	1	3	0	0	0	1	0	23	1	0	0	0	0	0
