"Author"	"Year"	"n111"	"n11s"	"n101"	"n10s"	"n1s1"	"n011"	"n01s"	"n001"	"n00s"	"n0s1"	"Author_Year"	"study"	"n110"	"n100"	"n010"	"n000"	"n1s0"	"n0s0"	"miss_r1"	"miss_r0"	"miss"
"1"	"Bofill"	1997	5	47	0	2	0	1	12	2	39	0	"Bofill_1997"	1	42	2	11	37	0	0	0	0	0
"2"	"Clark"	1998	13	147	2	9	0	16	84	6	78	0	"Clark_1998"	2	134	7	68	72	0	0	0	0	0
"8"	"Halpern"	2004	12	124	0	0	0	7	51	5	67	0	"Halpern_2004"	8	112	0	44	62	0	0	0	0	0
"9"	"Head"	2002	10	53	0	3	0	0	2	7	58	0	"Head_2002"	9	43	3	2	51	0	0	0	0	0
"12"	"Jain"	2003	7	43	2	2	0	0	0	11	83	0	"Jain_2003"	12	36	0	0	72	0	0	0	0	0
"18"	"Nafisi"	2006	24	197	0	0	0	0	0	19	198	0	"Nafisi_2006"	18	173	0	0	179	0	0	0	0	0
"19"	"Nikkola"	1997	0	10	0	0	0	0	4	0	6	0	"Nikkola_1997"	19	10	0	4	6	0	0	0	0	0
"21"	"Ramin"	1995	39	432	2	232	0	8	103	17	563	0	"Ramin_1995"	21	393	230	95	546	0	0	0	0	0
"22"	"Sharma"	1997	12	243	1	115	0	0	5	16	352	0	"Sharma_1997"	22	231	114	5	336	0	0	0	0	0
"27"	"Volmanen"	2008	1	24	0	1	0	0	3	1	24	0	"Volmanen_2008"	27	23	1	3	23	0	0	0	0	0
"4"	"Evron"	2008	0	NA	0	NA	19	0	0	4	44	0	"Evron_2008"	4	0	0	0	40	129	0	1	0	1
"6"	"Gambling"	1998	29	400	10	216	0	0	NA	0	448	34	"Gambling_1998"	6	371	206	0	0	0	573	0	1	1
"23"	"Sharma"	2002	15	214	1	12	0	0	NA	0	219	20	"Sharma_2002"	23	199	11	0	0	0	213	0	1	1
"3"	"Dickinson"	2002	0	356	0	NA	85	0	NA	0	193	71	"Dickinson_2002"	3	0	0	0	0	408	428	1	1	1
"5"	"El_Kerdawy"	2010	0	NA	0	NA	4	0	NA	0	NA	3	"El_Kerdawy_2010"	5	0	0	0	0	11	12	1	1	1
"7"	"Grandjean"	1979	0	NA	0	NA	0	0	NA	0	NA	1	"Grandjean_1979"	7	0	0	0	0	30	59	1	1	1
"10"	"Hogg"	2000	0	NA	0	NA	7	0	NA	0	NA	6	"Hogg_2000"	10	0	0	0	0	46	46	1	1	1
"11"	"Howell"	2001	0	123	0	NA	13	0	NA	0	133	16	"Howell_2001"	11	0	0	0	0	171	169	1	1	1
"13"	"Long"	2003	0	NA	0	NA	1	0	NA	0	NA	6	"Long_2003"	13	0	0	0	0	29	44	1	1	1
"14"	"Loughnan"	2000	0	257	0	NA	36	0	NA	0	135	40	"Loughnan_2000"	14	0	0	0	0	268	270	1	1	1
"15"	"Lucas"	2001	0	321	0	NA	63	0	NA	0	NA	62	"Lucas_2001"	15	0	0	0	0	309	304	1	1	1
"16"	"Muir"	1996	0	NA	0	NA	3	0	NA	0	11	2	"Muir_1996"	16	0	0	0	0	25	20	1	1	1
"17"	"Muir"	2000	0	NA	0	NA	11	0	NA	0	70	9	"Muir_2000"	17	0	0	0	0	86	79	1	1	1
"20"	"Philipsen"	1989	0	NA	0	NA	10	0	NA	0	NA	6	"Philipsen_1989"	20	0	0	0	0	47	48	1	1	1
"24"	"Shifman"	2007	0	NA	0	NA	15	0	NA	0	NA	18	"Shifman_2007"	24	0	0	0	0	45	32	1	1	1
"25"	"Thalme"	1974	0	NA	0	NA	6	0	NA	0	NA	4	"Thalme_1974"	25	0	0	0	0	8	10	1	1	1
"26"	"Thorp"	1993	0	NA	0	NA	12	0	NA	0	NA	1	"Thorp_1993"	26	0	0	0	0	36	44	1	1	1
