"clinic"	"n000"	"n001"	"n010"	"n011"	"n100"	"n101"	"n110"	"n111"	"y"	"n00s"	"n01s"	"n10s"	"n11s"	"n0ss"	"n1ss"	"p10"	"p01"
"1"	1	37	2	11	1	2	0	42	5	0	39	12	2	47	51	49	0.235294117647059	0.0408163265306122
"2"	2	72	6	68	16	7	2	134	13	0	78	84	9	147	162	156	0.518518518518518	0.0576923076923077
"3"	3	62	5	44	7	0	0	112	12	0	67	51	0	124	118	124	0.432203389830508	0
"4"	4	51	7	2	0	3	0	43	10	0	58	2	3	53	60	56	0.0333333333333333	0.0535714285714286
"5"	5	72	11	0	0	0	2	36	7	0	83	0	2	43	83	45	0	0.0444444444444444
"6"	6	179	19	0	0	0	0	173	24	0	198	0	0	197	198	197	0	0
"7"	7	6	0	4	0	0	0	10	0	0	6	4	0	10	10	10	0.4	0
"8"	7	546	17	95	8	230	2	393	39	0	563	103	232	432	666	664	0.154654654654655	0.349397590361446
"9"	8	336	16	5	0	114	1	231	12	0	352	5	115	243	357	358	0.0140056022408964	0.32122905027933
"10"	9	23	1	3	0	1	0	23	1	0	24	3	1	24	27	25	0.111111111111111	0.04
